"TIME","Vramp","R1(1)"
0,-2,5
0.1312,-1.6064,5
0.5712,-0.2864,5
0.7712,0.3136,5
0.8112,0.4336,4.9996
0.8512,0.5536,4.95877
0.8821734821,0.64652,3.54996
0.9035218096,0.710565,0.0580279
0.9169460814,0.750838,0.0441903
0.929430352,0.788291,0.0391356
0.9482901025,0.84487,0.0354307
0.9860096035,0.958029,0.032512
0.9989442726,0.996833,0.0320337
1.006348388,-1.98095,4.99992
1.225911443,-1.32227,5
1.665911443,-0.00226567,5
1.785911443,0.357734,4.99998
1.825911443,0.477734,4.9978
1.865911443,0.597734,4.77389
1.889052859,0.667159,1.90019
1.91335971,0.740079,0.0465305
1.928468504,0.785406,0.0394163
1.943748589,0.831246,0.0360874
1.971444193,0.914333,0.0332757
1.984840891,0.954523,0.0325634
1.993509772,0.980529,0.0322147
1.997892336,0.993677,0.032067
2,-2,4.99974
