"TIME","Vramp","R5(2)"
0,-2,1.5
0.1312,-1.6064,1.6968
0.2912,-1.1264,1.93674
0.3312,-1.0064,1.99478
0.3712,-0.8864,2.02217
0.4112,-0.7664,1.97604
0.4512,-0.6464,1.89397
0.4912,-0.5264,1.79747
0.5312,-0.4064,1.6956
0.5712,-0.2864,1.58973
0.6112,-0.1664,1.48157
0.6512,-0.0464,1.37189
0.6912,0.0736,1.26106
0.7312,0.1936,1.14935
0.7712,0.3136,1.03694
0.8112,0.4336,0.923984
0.8512,0.5536,0.810565
0.9035218096,0.710565,0.661646
0.929430352,0.788291,0.587704
0.9482901025,0.84487,0.533805
0.9989442726,0.996833,0.388768
1.006348388,-1.98095,1.50952
1.225911443,-1.32227,1.83887
1.305911443,-1.08227,1.95863
1.345911443,-0.962266,2.01226
1.385911443,-0.842266,2.01214
1.425911443,-0.722266,1.94794
1.465911443,-0.602266,1.85921
1.505911443,-0.482266,1.76128
1.545911443,-0.362266,1.65714
1.585911443,-0.242266,1.55013
1.625911443,-0.122266,1.44138
1.665911443,-0.00226567,1.33124
1.705911443,0.117734,1.22006
1.745911443,0.237734,1.10808
1.785911443,0.357734,0.995458
1.825911443,0.477734,0.88232
1.865911443,0.597734,0.768753
1.91335971,0.740079,0.633583
1.943748589,0.831246,0.546789
1.984840891,0.954523,0.429187
1.997892336,0.993677,0.391784
2,-2,1.50001
